system,dataset,topk,recall,qps,label,source
Chimera-CPU,lotte,100,0.96739,102.116667,f2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.972941,89.624,g1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.974261,85.127333,g2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.977772,71.978667,h1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.980092,59.714,i1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.981658,49.930667,j1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.983695,25.153667,k1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,lotte,100,0.983797,19.164667,l1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera,hotpot,100,0.84062,337.856,c3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.8697,331.838,e1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.87312,289.792,d1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.89591,273.708,f1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.91391,252.708,g1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.92008,241.82,g2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.92756,208.345,h1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.93563,190.793,i1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.94155,165.44,j1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.95008,102.536,k1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_hotpot_highrecall/k100/hotpot/gpu_search_v6_lite_vram16_hotpot_highrecall/benchmark_results_20260426T224514Z_job56279474.csv
Chimera,hotpot,100,0.95033,96.042,l1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_hotpot_highrecall/k100/hotpot/gpu_search_v6_lite_vram16_hotpot_highrecall/benchmark_results_20260426T224514Z_job56279474.csv
